GeneID	nReads	ftype
ENSMUSG00000000001.5	34	exon
ENSMUSG00000000028.16	1	exon
ENSMUSG00000000037.18	3	exon
ENSMUSG00000000056.8	62	exon
ENSMUSG00000000058.7	15	exon
ENSMUSG00000000078.8	36	exon
ENSMUSG00000000085.17	48	exon
ENSMUSG00000000088.8	264	exon
ENSMUSG00000000093.7	7	exon
ENSMUSG00000000120.7	2	exon
ENSMUSG00000000125.6	3	exon
ENSMUSG00000000127.16	22	exon
ENSMUSG00000000131.16	51	exon
ENSMUSG00000000134.18	56	exon
ENSMUSG00000000142.16	30	exon
ENSMUSG00000000148.18	12	exon
ENSMUSG00000000149.11	104	exon
ENSMUSG00000000154.17	1	exon
ENSMUSG00000000167.15	3	exon
ENSMUSG00000000168.11	89	exon
ENSMUSG00000000171.6	54	exon
ENSMUSG00000000184.13	182	exon
ENSMUSG00000000194.14	50	exon
ENSMUSG00000000197.9	84	exon
ENSMUSG00000000202.10	22	exon
ENSMUSG00000000214.12	3	exon
ENSMUSG00000000223.14	44	exon
ENSMUSG00000000247.12	27	exon
ENSMUSG00000000253.14	97	exon
ENSMUSG00000000266.12	21	exon
ENSMUSG00000000275.17	8	exon
ENSMUSG00000000276.12	36	exon
ENSMUSG00000000278.11	11	exon
ENSMUSG00000000282.13	25	exon
ENSMUSG00000000290.14	3	exon
ENSMUSG00000000295.14	29	exon
ENSMUSG00000000296.9	88	exon
ENSMUSG00000000301.17	1	exon
ENSMUSG00000000303.14	1	exon
ENSMUSG00000000305.13	38	exon
ENSMUSG00000000308.15	170	exon
ENSMUSG00000000317.12	3	exon
ENSMUSG00000000318.17	1	exon
ENSMUSG00000000320.11	1	exon
ENSMUSG00000000326.14	137	exon
ENSMUSG00000000339.15	65	exon
ENSMUSG00000000340.11	33	exon
ENSMUSG00000000346.10	125	exon
ENSMUSG00000000355.14	42	exon
ENSMUSG00000000359.4	2	exon
ENSMUSG00000000374.9	66	exon
ENSMUSG00000000378.16	162	exon
ENSMUSG00000000384.16	26	exon
ENSMUSG00000000385.9	1	exon
ENSMUSG00000000399.11	140	exon
ENSMUSG00000000409.15	6	exon
ENSMUSG00000000416.17	298	exon
ENSMUSG00000000420.16	54	exon
ENSMUSG00000000439.10	36	exon
ENSMUSG00000000441.18	71	exon
ENSMUSG00000000486.14	2	exon
ENSMUSG00000000489.8	35	exon
ENSMUSG00000000530.17	52	exon
ENSMUSG00000000531.6	99	exon
ENSMUSG00000000532.12	68	exon
ENSMUSG00000000538.19	136	exon
ENSMUSG00000000552.11	45	exon
ENSMUSG00000000555.9	33	exon
ENSMUSG00000000560.10	137	exon
ENSMUSG00000000561.15	51	exon
ENSMUSG00000000562.6	1	exon
ENSMUSG00000000563.18	378	exon
ENSMUSG00000000567.6	80	exon
ENSMUSG00000000568.16	235	exon
ENSMUSG00000000581.9	74	exon
ENSMUSG00000000594.8	70	exon
ENSMUSG00000000600.16	107	exon
ENSMUSG00000000605.10	265	exon
ENSMUSG00000000627.16	22	exon
ENSMUSG00000000628.11	6	exon
ENSMUSG00000000631.21	122	exon
ENSMUSG00000000632.14	411	exon
ENSMUSG00000000682.8	5	exon
ENSMUSG00000000693.11	4	exon
ENSMUSG00000000708.15	28	exon
ENSMUSG00000000711.4	100	exon
ENSMUSG00000000732.10	4	exon
ENSMUSG00000000738.19	25	exon
ENSMUSG00000000740.13	581	exon
ENSMUSG00000000743.10	65	exon
ENSMUSG00000000751.14	54	exon
ENSMUSG00000000753.16	15	exon
ENSMUSG00000000759.15	29	exon
ENSMUSG00000000766.19	7	exon
ENSMUSG00000000776.14	33	exon
ENSMUSG00000000782.17	11	exon
ENSMUSG00000000787.13	204	exon
ENSMUSG00000000792.3	2	exon
ENSMUSG00000000794.10	40	exon
ENSMUSG00000000804.15	63	exon
ENSMUSG00000000805.19	24	exon
ENSMUSG00000000811.15	1	exon
ENSMUSG00000000823.17	62	exon
ENSMUSG00000000826.17	271	exon
ENSMUSG00000000827.19	63	exon
ENSMUSG00000000838.18	72	exon
ENSMUSG00000000861.16	94	exon
ENSMUSG00000000876.12	21	exon
ENSMUSG00000000881.13	142	exon
ENSMUSG00000000884.18	5	exon
ENSMUSG00000000901.18	11	exon
ENSMUSG00000000902.14	133	exon
ENSMUSG00000000903.4	1	exon
ENSMUSG00000000915.16	54	exon
ENSMUSG00000000916.16	14	exon
ENSMUSG00000000934.10	11	exon
ENSMUSG00000000948.17	8	exon
ENSMUSG00000000957.12	10	exon
ENSMUSG00000000958.11	1	exon
ENSMUSG00000000959.8	46	exon
ENSMUSG00000000976.14	15	exon
ENSMUSG00000000983.14	1	exon
ENSMUSG00000001014.7	2	exon
ENSMUSG00000001016.13	113	exon
ENSMUSG00000001017.17	199	exon
ENSMUSG00000001018.16	56	exon
ENSMUSG00000001020.9	1	exon
ENSMUSG00000001021.14	2	exon
ENSMUSG00000001025.9	24	exon
ENSMUSG00000001029.16	7	exon
ENSMUSG00000001034.18	10	exon
ENSMUSG00000001036.18	119	exon
ENSMUSG00000001039.13	23	exon
ENSMUSG00000001052.16	34	exon
ENSMUSG00000001053.16	11	exon
ENSMUSG00000001054.10	70	exon
ENSMUSG00000001056.4	78	exon
ENSMUSG00000001062.19	51	exon
ENSMUSG00000001065.16	17	exon
ENSMUSG00000001082.13	17	exon
ENSMUSG00000001089.15	74	exon
ENSMUSG00000001098.16	41	exon
ENSMUSG00000001100.11	66	exon
ENSMUSG00000001105.16	87	exon
ENSMUSG00000001119.8	70	exon
ENSMUSG00000001120.16	41	exon
ENSMUSG00000001123.16	12	exon
ENSMUSG00000001127.13	243	exon
ENSMUSG00000001128.8	12	exon
ENSMUSG00000001131.12	1	exon
ENSMUSG00000001134.10	8	exon
ENSMUSG00000001138.14	23	exon
ENSMUSG00000001143.14	44	exon
ENSMUSG00000001150.8	49	exon
ENSMUSG00000001151.11	46	exon
ENSMUSG00000001156.10	36	exon
ENSMUSG00000001157.14	47	exon
ENSMUSG00000001158.14	118	exon
ENSMUSG00000001173.16	58	exon
ENSMUSG00000001175.17	4444	exon
ENSMUSG00000001211.16	148	exon
ENSMUSG00000001227.13	156	exon
ENSMUSG00000001228.15	1	exon
ENSMUSG00000001229.10	50	exon
ENSMUSG00000001240.14	13	exon
ENSMUSG00000001247.17	11	exon
ENSMUSG00000001248.16	50	exon
ENSMUSG00000001249.15	3	exon
ENSMUSG00000001260.11	21	exon
