GeneID	nReads	ftype
ENSMUSG00000001288.16	14	exon
ENSMUSG00000001289.13	428	exon
ENSMUSG00000001300.17	117	exon
ENSMUSG00000001305.6	35	exon
ENSMUSG00000001313.13	482	exon
ENSMUSG00000001323.18	79	exon
ENSMUSG00000001334.11	145	exon
ENSMUSG00000001366.15	110	exon
ENSMUSG00000001376.18	86	exon
ENSMUSG00000001380.8	127	exon
ENSMUSG00000001383.10	261	exon
ENSMUSG00000001415.11	140	exon
ENSMUSG00000001416.14	247	exon
ENSMUSG00000001418.14	53	exon
ENSMUSG00000001419.18	378	exon
ENSMUSG00000001420.14	1	exon
ENSMUSG00000001424.15	115	exon
ENSMUSG00000001435.16	3	exon
ENSMUSG00000001436.16	17	exon
ENSMUSG00000001440.6	184	exon
ENSMUSG00000001441.14	365	exon
ENSMUSG00000001445.11	78	exon
ENSMUSG00000001467.6	37	exon
ENSMUSG00000001472.18	336	exon
ENSMUSG00000001482.16	42	exon
ENSMUSG00000001496.16	7	exon
ENSMUSG00000001506.11	2	exon
ENSMUSG00000001507.17	14	exon
ENSMUSG00000001508.16	3	exon
ENSMUSG00000001518.13	36	exon
ENSMUSG00000001520.13	15	exon
ENSMUSG00000001521.13	27	exon
ENSMUSG00000001524.15	23	exon
ENSMUSG00000001525.11	669	exon
ENSMUSG00000001542.8	50	exon
ENSMUSG00000001552.15	128	exon
ENSMUSG00000001555.11	11	exon
ENSMUSG00000001558.6	1	exon
ENSMUSG00000001569.11	36	exon
ENSMUSG00000001576.16	161	exon
ENSMUSG00000001627.13	34	exon
ENSMUSG00000001630.14	20	exon
ENSMUSG00000001632.17	56	exon
ENSMUSG00000001642.19	2	exon
ENSMUSG00000001663.11	14	exon
ENSMUSG00000001665.12	2	exon
ENSMUSG00000001666.9	40	exon
ENSMUSG00000001672.15	1	exon
ENSMUSG00000001674.12	39	exon
ENSMUSG00000001687.16	391	exon
ENSMUSG00000001700.11	12	exon
ENSMUSG00000001707.9	40	exon
ENSMUSG00000001729.15	194	exon
ENSMUSG00000001739.15	3	exon
ENSMUSG00000001741.13	2	exon
ENSMUSG00000001750.17	10	exon
ENSMUSG00000001751.10	8	exon
ENSMUSG00000001755.13	37	exon
ENSMUSG00000001761.8	20	exon
ENSMUSG00000001763.15	18	exon
ENSMUSG00000001767.6	45	exon
ENSMUSG00000001768.17	32	exon
ENSMUSG00000001773.15	4	exon
ENSMUSG00000001774.9	77	exon
ENSMUSG00000001783.4	199	exon
ENSMUSG00000001785.14	29	exon
ENSMUSG00000001786.15	51	exon
ENSMUSG00000001794.14	119	exon
ENSMUSG00000001802.17	71	exon
ENSMUSG00000001827.13	4	exon
ENSMUSG00000001829.18	54	exon
ENSMUSG00000001833.18	353	exon
ENSMUSG00000001844.11	31	exon
ENSMUSG00000001847.15	346	exon
ENSMUSG00000001855.16	45	exon
ENSMUSG00000001864.14	11	exon
ENSMUSG00000001870.17	5	exon
ENSMUSG00000001891.17	156	exon
ENSMUSG00000001909.17	66	exon
ENSMUSG00000001910.6	78	exon
ENSMUSG00000001911.17	100	exon
ENSMUSG00000001918.18	4	exon
ENSMUSG00000001924.16	323	exon
ENSMUSG00000001930.18	17	exon
ENSMUSG00000001942.9	34	exon
ENSMUSG00000001946.15	17	exon
ENSMUSG00000001948.11	11	exon
ENSMUSG00000001962.9	35	exon
ENSMUSG00000001964.15	79	exon
ENSMUSG00000001985.10	42	exon
ENSMUSG00000001986.17	189	exon
ENSMUSG00000001995.10	19	exon
ENSMUSG00000001998.16	5	exon
ENSMUSG00000001999.16	24	exon
ENSMUSG00000002006.13	249	exon
ENSMUSG00000002007.6	5	exon
ENSMUSG00000002010.18	152	exon
ENSMUSG00000002012.14	79	exon
ENSMUSG00000002014.13	100	exon
ENSMUSG00000002015.6	61	exon
ENSMUSG00000002017.11	16	exon
ENSMUSG00000002028.14	340	exon
ENSMUSG00000002031.14	48	exon
ENSMUSG00000002032.18	9	exon
ENSMUSG00000002043.18	11	exon
ENSMUSG00000002052.7	150	exon
ENSMUSG00000002055.10	1	exon
ENSMUSG00000002058.14	41	exon
ENSMUSG00000002059.19	53	exon
ENSMUSG00000002064.11	89	exon
ENSMUSG00000002068.17	13	exon
ENSMUSG00000002083.14	36	exon
ENSMUSG00000002102.16	238	exon
ENSMUSG00000002103.17	81	exon
ENSMUSG00000002104.12	5	exon
ENSMUSG00000002105.16	20	exon
ENSMUSG00000002107.20	1192	exon
ENSMUSG00000002108.11	2	exon
ENSMUSG00000002109.15	12	exon
ENSMUSG00000002111.10	11	exon
ENSMUSG00000002129.12	144	exon
ENSMUSG00000002147.19	18	exon
ENSMUSG00000002190.14	18	exon
ENSMUSG00000002205.17	55	exon
ENSMUSG00000002210.12	31	exon
ENSMUSG00000002221.12	47	exon
ENSMUSG00000002222.15	193	exon
ENSMUSG00000002227.16	11	exon
ENSMUSG00000002233.14	18	exon
ENSMUSG00000002249.22	4	exon
ENSMUSG00000002250.17	24	exon
ENSMUSG00000002257.9	6	exon
ENSMUSG00000002265.18	399	exon
ENSMUSG00000002274.15	74	exon
ENSMUSG00000002279.20	39	exon
ENSMUSG00000002280.12	57	exon
ENSMUSG00000002289.17	4	exon
ENSMUSG00000002297.17	10	exon
ENSMUSG00000002307.17	36	exon
ENSMUSG00000002308.17	18	exon
ENSMUSG00000002319.17	61	exon
ENSMUSG00000002320.16	6	exon
ENSMUSG00000002324.9	14	exon
ENSMUSG00000002325.16	21	exon
ENSMUSG00000002326.7	48	exon
ENSMUSG00000002329.8	71	exon
ENSMUSG00000002332.17	80	exon
ENSMUSG00000002341.9	251	exon
ENSMUSG00000002342.18	51	exon
ENSMUSG00000002343.12	43	exon
ENSMUSG00000002345.19	53	exon
ENSMUSG00000002346.18	25	exon
ENSMUSG00000002365.11	28	exon
ENSMUSG00000002372.10	116	exon
ENSMUSG00000002379.8	172	exon
ENSMUSG00000002393.15	47	exon
ENSMUSG00000002395.15	195	exon
ENSMUSG00000002396.9	23	exon
ENSMUSG00000002409.19	19	exon
ENSMUSG00000002413.16	162	exon
ENSMUSG00000002416.14	276	exon
ENSMUSG00000002428.13	40	exon
ENSMUSG00000002455.15	102	exon
ENSMUSG00000002458.14	13	exon
ENSMUSG00000002459.18	152	exon
ENSMUSG00000002475.17	43	exon
ENSMUSG00000002477.6	129	exon
ENSMUSG00000002486.16	13	exon
ENSMUSG00000002489.17	88	exon
ENSMUSG00000002496.11	96	exon
ENSMUSG00000002504.16	29	exon
ENSMUSG00000002524.18	216	exon
ENSMUSG00000002546.18	132	exon
ENSMUSG00000002550.17	50	exon
ENSMUSG00000002565.17	1	exon
ENSMUSG00000002578.19	35	exon
ENSMUSG00000002580.8	232	exon
ENSMUSG00000002602.17	20	exon
ENSMUSG00000002603.16	2	exon
ENSMUSG00000002608.9	51	exon
ENSMUSG00000002617.15	24	exon
ENSMUSG00000002625.11	152	exon
ENSMUSG00000002633.5	3	exon
ENSMUSG00000002635.12	32	exon
ENSMUSG00000002658.10	156	exon
ENSMUSG00000002660.9	130	exon
ENSMUSG00000002661.15	47	exon
ENSMUSG00000002679.15	33	exon
ENSMUSG00000002688.9	35	exon
ENSMUSG00000002699.14	1	exon
ENSMUSG00000002718.15	34	exon
ENSMUSG00000002728.15	65	exon
ENSMUSG00000002731.7	5	exon
ENSMUSG00000002732.15	4	exon
ENSMUSG00000002733.9	44	exon
ENSMUSG00000002741.10	122	exon
ENSMUSG00000002748.8	174	exon
ENSMUSG00000002763.17	62	exon
ENSMUSG00000002767.14	75	exon
ENSMUSG00000002768.9	132	exon
ENSMUSG00000002769.10	1	exon
ENSMUSG00000002771.13	6	exon
ENSMUSG00000002778.15	126	exon
ENSMUSG00000002781.20	24	exon
ENSMUSG00000002797.10	32	exon
ENSMUSG00000002799.7	31	exon
ENSMUSG00000002803.15	67	exon
ENSMUSG00000002804.5	8	exon
ENSMUSG00000002808.8	143	exon
ENSMUSG00000002812.5	45	exon
ENSMUSG00000002814.16	4	exon
ENSMUSG00000002820.7	28	exon
ENSMUSG00000002825.9	29	exon
ENSMUSG00000002831.16	3	exon
ENSMUSG00000002833.12	98	exon
ENSMUSG00000002835.10	15	exon
ENSMUSG00000002844.10	168	exon
ENSMUSG00000002845.15	4	exon
ENSMUSG00000002846.10	16	exon
ENSMUSG00000002847.8	3	exon
ENSMUSG00000002870.9	2	exon
ENSMUSG00000002871.15	51	exon
ENSMUSG00000002881.15	29	exon
ENSMUSG00000002885.15	11	exon
ENSMUSG00000002897.6	21	exon
ENSMUSG00000002900.18	51	exon
ENSMUSG00000002908.19	19	exon
ENSMUSG00000002910.12	20	exon
ENSMUSG00000002948.20	133	exon
ENSMUSG00000002949.16	104	exon
ENSMUSG00000002957.12	158	exon
ENSMUSG00000002963.18	24	exon
ENSMUSG00000002968.10	86	exon
ENSMUSG00000002980.15	15	exon
ENSMUSG00000002981.11	341	exon
ENSMUSG00000002983.19	9	exon
ENSMUSG00000002984.18	194	exon
ENSMUSG00000002985.17	4780	exon
ENSMUSG00000002996.18	33	exon
ENSMUSG00000002997.16	157	exon
ENSMUSG00000003031.15	44	exon
ENSMUSG00000003032.9	7	exon
ENSMUSG00000003033.16	50	exon
ENSMUSG00000003037.17	55	exon
ENSMUSG00000003038.16	8	exon
ENSMUSG00000003039.10	97	exon
ENSMUSG00000003062.14	75	exon
ENSMUSG00000003068.18	119	exon
ENSMUSG00000003070.7	30	exon
ENSMUSG00000003072.16	521	exon
ENSMUSG00000003099.12	117	exon
ENSMUSG00000003119.15	35	exon
ENSMUSG00000003123.16	22	exon
ENSMUSG00000003131.8	165	exon
ENSMUSG00000003134.11	126	exon
ENSMUSG00000003135.16	37	exon
ENSMUSG00000003153.11	87	exon
ENSMUSG00000003154.17	110	exon
ENSMUSG00000003161.16	157	exon
ENSMUSG00000003166.21	133	exon
ENSMUSG00000003184.16	46	exon
ENSMUSG00000003190.13	9	exon
ENSMUSG00000003198.11	26	exon
ENSMUSG00000003199.17	108	exon
ENSMUSG00000003200.11	30	exon
ENSMUSG00000003206.8	6	exon
ENSMUSG00000003208.10	22	exon
ENSMUSG00000003226.8	79	exon
ENSMUSG00000003227.5	2	exon
ENSMUSG00000003228.10	29	exon
ENSMUSG00000003233.13	32	exon
ENSMUSG00000003234.17	111	exon
ENSMUSG00000003235.14	82	exon
ENSMUSG00000003269.20	118	exon
ENSMUSG00000003271.18	5	exon
ENSMUSG00000003273.15	409	exon
ENSMUSG00000003279.18	306	exon
ENSMUSG00000003282.10	10	exon
ENSMUSG00000003283.16	3	exon
ENSMUSG00000003299.11	54	exon
ENSMUSG00000003308.16	217	exon
ENSMUSG00000003309.15	2	exon
ENSMUSG00000003316.15	153	exon
ENSMUSG00000003341.10	1	exon
ENSMUSG00000003344.16	116	exon
ENSMUSG00000003345.17	353	exon
ENSMUSG00000003346.15	330	exon
ENSMUSG00000003348.11	8	exon
ENSMUSG00000003352.15	239	exon
ENSMUSG00000003354.7	5	exon
ENSMUSG00000003355.8	1	exon
ENSMUSG00000003360.16	17	exon
ENSMUSG00000003363.16	222	exon
ENSMUSG00000003378.10	362	exon
ENSMUSG00000003380.12	206	exon
ENSMUSG00000003382.19	46	exon
ENSMUSG00000003402.15	95	exon
ENSMUSG00000003410.9	925	exon
ENSMUSG00000003411.11	84	exon
ENSMUSG00000003418.12	1	exon
ENSMUSG00000003420.9	15	exon
ENSMUSG00000003421.14	53	exon
ENSMUSG00000003423.16	48	exon
ENSMUSG00000003429.12	291	exon
ENSMUSG00000003435.10	151	exon
ENSMUSG00000003436.12	2	exon
ENSMUSG00000003437.15	115	exon
ENSMUSG00000003438.18	38	exon
ENSMUSG00000003444.9	7	exon
ENSMUSG00000003452.16	103	exon
ENSMUSG00000003458.13	51	exon
ENSMUSG00000003464.14	94	exon
ENSMUSG00000003469.10	831	exon
ENSMUSG00000003476.17	1	exon
ENSMUSG00000003477.6	1	exon
ENSMUSG00000003500.14	21	exon
ENSMUSG00000003518.14	211	exon
ENSMUSG00000003526.13	30	exon
ENSMUSG00000003527.10	17	exon
ENSMUSG00000003528.16	24	exon
ENSMUSG00000003531.16	126	exon
ENSMUSG00000003534.18	114	exon
ENSMUSG00000003541.7	17	exon
ENSMUSG00000003545.4	30	exon
ENSMUSG00000003546.11	42	exon
ENSMUSG00000003549.10	32	exon
ENSMUSG00000003559.9	25	exon
ENSMUSG00000003573.16	10	exon
ENSMUSG00000003575.14	386	exon
ENSMUSG00000003581.15	44	exon
ENSMUSG00000003585.14	41	exon
ENSMUSG00000003604.15	19	exon
ENSMUSG00000003617.17	8	exon
ENSMUSG00000003623.5	52	exon
