GeneID	nReads	ftype
ENSMUSG00000000001.5	234	exon
ENSMUSG00000000028.16	8	exon
ENSMUSG00000000037.18	1	exon
ENSMUSG00000000049.12	3	exon
ENSMUSG00000000056.8	191	exon
ENSMUSG00000000058.7	208	exon
ENSMUSG00000000078.8	501	exon
ENSMUSG00000000085.17	126	exon
ENSMUSG00000000088.8	4564	exon
ENSMUSG00000000093.7	1	exon
ENSMUSG00000000094.13	2	exon
ENSMUSG00000000120.7	25	exon
ENSMUSG00000000125.6	73	exon
ENSMUSG00000000126.12	51	exon
ENSMUSG00000000127.16	128	exon
ENSMUSG00000000131.16	141	exon
ENSMUSG00000000134.18	179	exon
ENSMUSG00000000142.16	103	exon
ENSMUSG00000000148.18	72	exon
ENSMUSG00000000149.11	212	exon
ENSMUSG00000000154.17	9	exon
ENSMUSG00000000159.17	4	exon
ENSMUSG00000000167.15	19	exon
ENSMUSG00000000168.11	859	exon
ENSMUSG00000000171.6	485	exon
ENSMUSG00000000184.13	403	exon
ENSMUSG00000000194.14	129	exon
ENSMUSG00000000197.9	243	exon
ENSMUSG00000000202.10	765	exon
ENSMUSG00000000214.12	295	exon
ENSMUSG00000000216.9	2	exon
ENSMUSG00000000223.14	108	exon
ENSMUSG00000000244.18	3	exon
ENSMUSG00000000247.12	180	exon
ENSMUSG00000000253.14	461	exon
ENSMUSG00000000263.16	154	exon
ENSMUSG00000000266.12	50	exon
ENSMUSG00000000275.17	15	exon
ENSMUSG00000000276.12	212	exon
ENSMUSG00000000278.11	249	exon
ENSMUSG00000000282.13	138	exon
ENSMUSG00000000290.14	41	exon
ENSMUSG00000000295.14	166	exon
ENSMUSG00000000296.9	438	exon
ENSMUSG00000000301.17	21	exon
ENSMUSG00000000303.14	20	exon
ENSMUSG00000000305.13	152	exon
ENSMUSG00000000308.15	1703	exon
ENSMUSG00000000317.12	4	exon
ENSMUSG00000000318.17	10	exon
ENSMUSG00000000320.11	12	exon
ENSMUSG00000000326.14	884	exon
ENSMUSG00000000339.15	605	exon
ENSMUSG00000000340.11	91	exon
ENSMUSG00000000346.10	1382	exon
ENSMUSG00000000355.14	552	exon
ENSMUSG00000000359.4	8	exon
ENSMUSG00000000365.10	3	exon
ENSMUSG00000000374.9	210	exon
ENSMUSG00000000378.16	509	exon
ENSMUSG00000000384.16	114	exon
ENSMUSG00000000386.19	2	exon
ENSMUSG00000000392.18	12	exon
ENSMUSG00000000399.11	1048	exon
ENSMUSG00000000402.3	29	exon
ENSMUSG00000000409.15	15	exon
ENSMUSG00000000411.8	5	exon
ENSMUSG00000000416.17	297	exon
ENSMUSG00000000420.16	189	exon
ENSMUSG00000000439.10	349	exon
ENSMUSG00000000440.13	16	exon
ENSMUSG00000000441.18	401	exon
ENSMUSG00000000486.14	19	exon
ENSMUSG00000000489.8	78	exon
ENSMUSG00000000530.17	66	exon
ENSMUSG00000000531.6	367	exon
ENSMUSG00000000532.12	371	exon
ENSMUSG00000000538.19	639	exon
ENSMUSG00000000552.11	561	exon
ENSMUSG00000000555.9	17	exon
ENSMUSG00000000560.10	324	exon
ENSMUSG00000000561.15	224	exon
ENSMUSG00000000562.6	2	exon
ENSMUSG00000000563.18	4089	exon
ENSMUSG00000000567.6	1035	exon
ENSMUSG00000000568.16	388	exon
ENSMUSG00000000579.15	2	exon
ENSMUSG00000000581.9	851	exon
ENSMUSG00000000594.8	630	exon
ENSMUSG00000000600.16	168	exon
ENSMUSG00000000605.10	2283	exon
ENSMUSG00000000627.16	172	exon
ENSMUSG00000000628.11	23	exon
ENSMUSG00000000631.21	368	exon
ENSMUSG00000000632.14	786	exon
ENSMUSG00000000673.10	3	exon
ENSMUSG00000000682.8	16	exon
ENSMUSG00000000686.12	3	exon
ENSMUSG00000000690.6	1	exon
ENSMUSG00000000693.11	39	exon
ENSMUSG00000000706.17	2	exon
ENSMUSG00000000708.15	59	exon
ENSMUSG00000000711.4	659	exon
ENSMUSG00000000730.14	3	exon
ENSMUSG00000000732.10	18	exon
ENSMUSG00000000738.19	155	exon
ENSMUSG00000000739.15	10	exon
ENSMUSG00000000740.13	4123	exon
ENSMUSG00000000743.10	610	exon
ENSMUSG00000000751.14	376	exon
ENSMUSG00000000753.16	183	exon
ENSMUSG00000000759.15	139	exon
ENSMUSG00000000766.19	18	exon
ENSMUSG00000000776.14	169	exon
ENSMUSG00000000782.17	13	exon
ENSMUSG00000000787.13	395	exon
ENSMUSG00000000791.10	1	exon
ENSMUSG00000000792.3	212	exon
ENSMUSG00000000794.10	28	exon
ENSMUSG00000000804.15	211	exon
ENSMUSG00000000805.19	441	exon
ENSMUSG00000000811.15	58	exon
ENSMUSG00000000823.17	82	exon
ENSMUSG00000000826.17	1428	exon
ENSMUSG00000000827.19	530	exon
ENSMUSG00000000838.18	280	exon
ENSMUSG00000000861.16	692	exon
ENSMUSG00000000876.12	135	exon
ENSMUSG00000000881.13	198	exon
ENSMUSG00000000884.18	46	exon
ENSMUSG00000000889.9	15	exon
ENSMUSG00000000901.18	21	exon
ENSMUSG00000000902.14	867	exon
ENSMUSG00000000915.16	247	exon
ENSMUSG00000000916.16	63	exon
ENSMUSG00000000934.10	106	exon
ENSMUSG00000000948.17	48	exon
ENSMUSG00000000957.12	122	exon
ENSMUSG00000000958.11	9	exon
ENSMUSG00000000959.8	345	exon
ENSMUSG00000000976.14	115	exon
ENSMUSG00000000982.6	6	exon
ENSMUSG00000000983.14	8	exon
ENSMUSG00000001014.7	31	exon
ENSMUSG00000001016.13	1298	exon
ENSMUSG00000001017.17	847	exon
