RG	total	total%	assigned	assigned%	unknown	unknown%	conflict	conflict%	wrong	wrong%
Dvali_Tamara_gonads	1126600791	79.8112%	1108945422	98.4329%	12920710	1.14688%	3177057	0.282004%	1557602	0.138257%
Hundelshausen_Li_peri	249005691	17.6402%	242619689	97.4354%	4898776	1.96733%	335181	0.134608%	1152045	0.462658%
unknown	8797450	0.623233%	8322860	94.6054%	435219	4.9471%	19849	0.225622%	19522	0.221905%
primeseq_PoP96III_new	5622155	0.398288%	4734151	84.2053%	869099	15.4585%	9330	0.165951%	9575	0.170308%
primeseq_poolsize_320	5125817	0.363126%	2227969	43.4656%	2890376	56.3886%	3611	0.0704473%	3861	0.0753246%
primeseq_poolsize_920	5119461	0.362676%	4853312	94.8012%	256674	5.01369%	3083	0.0602212%	6392	0.124857%
primeseq_poolsize_80	4064941	0.287971%	1579567	38.8583%	2478956	60.9838%	3604	0.0886606%	2814	0.0692261%
primeseq_PoP96III_PTO	3823562	0.270871%	3693485	96.598%	110915	2.90083%	5417	0.141674%	13745	0.359482%
primeseq_PoP96III_old	3421831	0.242411%	1322892	38.6604%	1934994	56.5485%	146131	4.27055%	17814	0.520598%
